Donta Scott,FR,2019-20,F,Maryland,Big Ten,29,631,68,150,43,75,25,75,20,24,40,72,112,14,12,4,16,54,181,21.8,2.3,5.2,1.5,2.6,0.9,2.6,0.7,0.8,1.4,2.5,3.9,0.5,0.4,0.1,0.6,1.9,6.2
Payton Pritchard,SR,2019-20,G,Oregon,Pac-12,29,1062,202,438,121,238,81,200,101,125,19,106,125,158,46,1,77,60,586,36.6,7.0,15.1,4.2,8.2,2.8,6.9,3.5,4.3,0.7,3.7,4.3,5.4,1.6,0.0,2.7,2.1,20.2
Chris Duarte,JR,2019-20,G,Oregon,Pac-12,28,844,126,304,79,164,47,140,62,78,42,115,157,46,47,15,43,46,361,30.1,4.5,10.9,2.8,5.9,1.7,5.0,2.2,2.8,1.5,4.1,5.6,1.6,1.7,0.5,1.5,1.6,12.9
Will Richardson,SO,2019-20,G,Oregon,Pac-12,29,872,113,239,76,161,37,78,52,62,34,72,106,68,37,6,43,63,315,30.1,3.9,8.2,2.6,5.6,1.3,2.7,1.8,2.1,1.2,2.5,3.7,2.3,1.3,0.2,1.5,2.2,10.9
Anthony Mathis,SR,2019-20,G,Oregon,Pac-12,29,672,75,174,15,34,60,140,23,28,11,54,65,26,16,1,16,36,233,23.2,2.6,6.0,0.5,1.2,2.1,4.8,0.8,1.0,0.4,1.9,2.2,0.9,0.6,0.0,0.6,1.2,8.0
Shakur Juiston,SR,2019-20,F,Oregon,Pac-12,24,677,83,172,77,139,6,33,17,33,47,104,151,48,24,13,46,60,189,28.2,3.5,7.2,3.2,5.8,0.3,1.4,0.7,1.4,2.0,4.3,6.3,2.0,1.0,0.5,1.9,2.5,7.9
Myles Powell,SR,2019-20,G,Seton Hall,Big East,26,817,184,459,110,217,74,242,118,147,23,92,115,68,34,5,73,54,560,31.4,7.1,17.7,4.2,8.3,2.8,9.3,4.5,5.7,0.9,3.5,4.4,2.6,1.3,0.2,2.8,2.1,21.5
Quincy McKnight,SR,2019-20,G,Seton Hall,Big East,28,851,97,235,65,142,32,93,99,116,8,82,90,152,44,5,62,61,325,30.4,3.5,8.4,2.3,5.1,1.1,3.3,3.5,4.1,0.3,2.9,3.2,5.4,1.6,0.2,2.2,2.2,11.6
Jared Rhoden,SO,2019-20,G,Seton Hall,Big East,28,723,92,209,61,117,31,92,42,66,41,143,184,32,31,8,30,69,257,25.8,3.3,7.5,2.2,4.2,1.1,3.3,1.5,2.4,1.5,5.1,6.6,1.1,1.1,0.3,1.1,2.5,9.2
Romaro Gill,SR,2019-20,C,Seton Hall,Big East,28,685,84,132,84,132,0,0,51,75,49,110,159,4,7,94,30,80,219,24.5,3.0,4.7,3.0,4.7,0.0,0.0,1.8,2.7,1.8,3.9,5.7,0.1,0.3,3.4,1.1,2.9,7.8
